noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
all,1000,10,3,0.001,0.3,0constpf,0.304190754890442,0.909090936183929,0.304944455623627,0.909090936183929,0.98766910879507,198.040025991787,192.326264354156,195.215378567716,60.0077000540077,55.9863323079072,59.5415455087633,0.017606641841509,0.0167072626104543,0.00673447338135099,0.00628967840656768,301,4,113.374806675873,-508.095452091589,1610.24016676543,-488.464430975661
all,1000,10,3,0.001,0.3,1linpf,0.303875774145126,0.909090936183929,0.304425686597824,0.909090936183929,0.978869748662032,218.11436992072,214.152843457269,217.346536001202,66.9625003691638,65.134292203294,69.5271896070313,0.0362346885168227,0.0397652700358267,0.0252672375831084,0.0249699496363663,301,4,51.4257286788747,-562.153740579768,1548.29108876843,-542.52271946384
all,1000,10,3,0.001,0.3,2quadpf,0.304081380367279,0.909090936183929,0.304712802171707,0.909090936183929,1.00996066147207,250.554052059045,257.192073697018,261.838137308835,51.1375894691937,52.3212667079107,49.9900278587604,0.0316564669626741,0.025540207246364,0.0244606700255328,0.0192162653544731,301,3,-11.0266808098585,-597.383283056477,1480.93092400071,-582.660017219531
all,1000,10,3,0.001,0.3,3cubpf,0.303307741880417,0.909090936183929,0.305544316768646,0.909090936183929,0.999750418003597,239.258206688427,257.340942395767,238.225353023922,57.2436226331279,56.3895919470021,57.24457465603,0.046062825270679,0.0406732975014424,0.0224791638540574,0.0187398256552396,301,4,-17.4610686855376,-585.003658643109,1479.40429140401,-565.372637527181
all,1000,10,5,0.001,0.3,0constpf,0.301978975534439,0.909090936183929,0.30619689822197,0.909090936183929,1.01042687470506,342.069470575002,361.088465611661,335.773666615776,132.215129179763,126.188847745956,135.032720272208,0.116033946860783,0.113892575141717,0.0421574874305987,0.0457775278144739,341,11,-270.554626715235,-926.56919950953,1456.97523148648,-872.583891440727
all,1000,10,5,0.001,0.3,1linpf,0.298327952623367,0.908977270126343,0.309831947088242,0.909090936183929,1.06625111044507,466.288751686943,567.373344794224,509.961388059565,97.5243081556053,98.9335230520601,104.775809662373,0.15414494064094,0.138002502358957,0.136232708972196,0.107184364281947,341,13,-624.613735692568,-1101.6261196851,1112.73163306711,-1037.82530105833
all,1000,10,5,0.001,0.3,2quadpf,0.301391005516052,0.909090936183929,0.305443674325943,0.909090936183929,1.01015793717739,535.434488887764,578.570305630718,579.39125587656,159.683734035203,161.862736243212,172.809580832828,0.176802544895266,0.139777769736963,0.144534034677271,0.128961182010537,341,14,-770.86608374786,-1362.23644584593,971.387040290799,-1293.52787194018
all,1000,10,5,0.001,0.3,3cubpf,0.300957798957825,0.909090936183929,0.308765411376953,0.909090936183929,1.00041629009784,558.0190805625,596.05793795296,611.513599711734,123.64003179591,117.272599363034,133.003238151128,0.183303718631559,0.190526097441449,0.189102012489039,0.148290627166764,341,13,-718.661074631988,-1337.31822471682,1018.68429412769,-1273.51740609005
all,1000,10,3,0.001,0.6,0constpf,0.303316384553909,0.909090936183929,0.304877132177353,0.909090936183929,1.01450658715555,285.385655897473,313.352782435807,284.880924524973,91.1623762720149,94.4573625622455,89.7856006122992,0.0570928680704414,0.047803559047803,0.0251576121731015,0.0216257385589309,301,3,-207.620289996105,-747.096064338977,1284.33731481446,-732.37279850203
all,1000,10,3,0.001,0.6,1linpf,0.303782343864441,0.909090936183929,0.305086761713028,0.909090936183929,1.00676605445831,390.323379970721,410.871570256461,358.471614130988,86.7300964265434,87.630005011390793,86.5140642033624,0.0988598329541182,0.0647807783489046,0.0863411956450425,0.0533273192300988,301,68.1222523810822,-258.758645773539,-817.862448032365,1552.80303693949,-483.535104292955
all,1000,10,3,0.001,0.6,2quadpf,0.302540838718414,0.909090936183929,0.304169058799744,0.909090936183929,1.01301043114495,403.749288793338,433.039272592376,459.494104943971,90.3230871117754,94.7357816081828,98.8810344180161,0.09997437598154,0.132011651663893,0.124815096399035,0.137806476958427,301,4,-445.550108401117,-980.144751810227,1051.31525168843,-960.513730694298
all,1000,10,3,0.001,0.6,3cubpf,0.302446275949478,0.909090936183929,0.304718613624573,0.909090936183929,0.992895354366461,334.088518118582,346.522362853784,367.758596165456,59.9076552728475,58.1654117866958,74.3368934215436,0.0768693647753364,0.12952359839214,0.0899812060793471,0.121144100626094,301,4,-199.375549280961,-779.992346782859,1297.48981080859,-760.36132566693
