noise_method,num_samples,nu,dim,tau_min,tau_max,param_cond_func,train set loss,train set accuracy,test set loss,test set accuracy,MC_Integral,log_lik_simp_train_orig,log_lik_NN_train_orig,log_lik_true_train,log_lik_simp_test_orig,log_lik_NN_test_orig,log_lik_true_test,MSE_loglik_NN_true_train,MSE_loglik_NN_true_test,MSE_loglik_simp_true_train,MSE_loglik_simp_true_test,NN_num_params,simp_cop_num_params,AIC_NN,AIC_simp,BIC_NN,BIC_simp
parametric,1000,10,3,0.001,0.3,0constpf,0.302952647209167,0.909090936183929,0.305298030376434,0.909090936183929,0.9833961300037,237.393616704792,236.082535225777,239.163305213212,71.8633078370075,66.0715147712354,73.1682950588309,0.0365506397250758,0.0401844010814283,0.00821389570261584,0.00885602358027895,301,3,3.69190000597553,-612.5138490836,1495.64950481655,-597.790583246653
parametric,1000,10,3,0.001,0.3,1linpf,0.303429782390594,0.909090936183929,0.304830938577652,0.909090936183929,0.984223163890087,209.284313210991,206.925236403073,212.866712747772,48.0916013037648,45.3927249650587,47.5272002856265,0.0396144431077345,0.0412313119172264,0.0144771699241352,0.018085773438947,301,4,105.364077263737,-506.751829029512,1602.22943735329,-487.120807913584
parametric,1000,10,3,0.001,0.3,2quadpf,0.303980946540833,0.909090936183929,0.305602431297302,0.909090936183929,0.997779392578719,248.311809796803,248.990246960213,247.707060225063,58.4278348441331,54.8845700204722,63.1948025427021,0.0395711575774244,0.0429965134710167,0.0357544966426378,0.0382544728732993,301,6,6.25036603862998,-601.479289281872,1512.93123668615,-572.032757607979
parametric,1000,10,3,0.001,0.3,3cubpf,0.303187936544418,0.909090936183929,0.306083619594574,0.909090936183929,1.01053305141323,256.614602419526,271.343741081921,258.906777077894,59.0474553995337,56.182587873732,60.8141844085103,0.0425272121366499,0.0381413841869462,0.0205737847537682,0.0198113969426574,301,4,-45.0526579113058,-623.324115638119,1451.81270217825,-603.69309452219
parametric,1000,10,5,0.001,0.3,0constpf,0.301915198564529,0.909090936183929,0.309544086456299,0.909090936183929,0.974205954041437,450.680768071278,463.989051569145,448.294841148338,110.939259473987,95.7263624538992,115.10962668789,0.0852116949165568,0.117179104654685,0.0322881701501388,0.0410593983739919,341,11,-415.430828046089,-1101.24005509053,1312.09903015562,-1047.25474702173
parametric,1000,10,5,0.001,0.3,1linpf,0.296049982309341,0.909090936183929,0.311973333358765,0.909090936183929,1.01930776040123,414.683291120691,505.342707875709,458.930928630887,104.41163660298,93.3246053999628,112.378962078115,0.198846935145627,0.185228508111591,0.127742086591649,0.109815558501445,341,12,-491.334626551343,-1014.18985544734,1241.10298692935,-955.296792099556
parametric,1000,10,5,0.001,0.3,2quadpf,0.302228569984436,0.909090936183929,0.30591481924057,0.909090936183929,1.01125376300201,622.894647808015,656.737367174145,671.805109191203,126.739521437134,126.999970292786,134.923439745137,0.168113017766273,0.198568378665207,0.153629372394241,0.170064168322385,341,12,-861.474674933863,-1475.2683384903,870.962938546831,-1416.37527514251
parametric,1000,10,5,0.001,0.3,3cubpf,0.297928214073181,0.908977270126343,0.305751830339432,0.909090936183929,0.978015737544957,481.012015965473,541.758099587628,535.321398214981,128.65132662601,121.197485816441,138.097253431477,0.21362862532635,0.201863756392519,0.175971343222576,0.198643046971975,341,14,-615.911170808138,-1191.32668518297,1126.34195323052,-1122.61811127722
parametric,1000,10,3,0.001,0.6,0constpf,0.304139137268066,0.909090936183929,0.305341809988022,0.909090936183929,0.993957517517796,299.691180951857,303.655096587977,307.882779236422,81.7090820427231,80.2668742716745,82.821980181468,0.0221276805591942,0.0268004514258304,0.0168319995947454,0.0199447948811587,301,2,-161.843941719302,-758.80052598916,1325.20590781229,-748.985015431196
parametric,1000,10,3,0.001,0.6,1linpf,0.301400303840637,0.909090936183929,0.303276568651199,0.909090936183929,0.996136500697278,272.793390192759,315.199229566405,305.197452183125,60.2178792556996,66.0468974139112,72.1052066861697,0.0740196325390919,0.0750218446764568,0.090688976797146,0.0803883753312591,301,3,-154.492253960632,-660.022538896918,1337.46535084994,-645.299273059971
parametric,1000,10,3,0.001,0.6,2quadpf,0.302232563495636,0.909090936183929,0.303766816854477,0.909090936183929,0.995199582632908,305.156103919693,326.625562430149,356.985561523602,71.5490179432383,74.9724857407703,84.1611289968386,0.118574703566798,0.0988022778503169,0.125697117099082,0.0890671656943259,301,4,-193.196096341838,-745.410243725862,1303.66926374771,-725.779222609934
